accession,secondary_accessions,name,synonyms,chemical_formula,iupac_name,cas_registry_number,smiles,inchi,inchikey,monisotopic_molecular_weight,average_molecular_weight,file_name,dim
HMDB0000206,['HMDB00206'],N6-Acetyl-L-lysine,"['(2S)-6-(Acetylamino)-2-aminohexanoic acid', 'N(6)-ACETYLLYSINE', 'N(zeta)-Acetyllysine', 'N-epsilon-Acetyl-L-lysine', 'N-Epsilon-Acetyllysine', 'N(epsilon)-Acetyl-L-lysine', 'N(zeta)-Acetyl-L-lysine', '(2S)-6-(Acetylamino)-2-aminohexanoate', 'N(Z)-Acetyllysine', 'N(Ζ)-acetyllysine', 'N(Z)-Acetyl-L-lysine', 'N(Ζ)-acetyl-L-lysine', 'e-Acetyl-L-lysine', 'e-N-Acetyl-L-lysine', 'e-N-Acetyllysine', 'epsilon-Acetyl-L-lysine', 'epsilon-N-Acetyl-L-lysine', 'epsilon-N-Acetyllysine', 'L-e-N-Acetyllysine', 'L-epsilon-N-Acetyllysine', 'N-e-Acetyl-L-lysine', 'N-e-Acetyllysine', 'N6-Acetyllysine', 'Ne-acetyl-L-lysine', 'Ne-acetyllysine', 'Omega-N-acetyl-L-lysine', 'W-N-Acetyl-L-lysine', 'N(6)-Acetyllsine', 'Omega-acetyllsine', '(2S)-6-Acetamido-2-aminohexanoic acid', '6-Acetamido-2-aminohexanoic acid', 'L-Ε-N-acetyllysine', 'Nepsilon-acetyl-L-lysine', 'Nepsilon-acetyllysine', 'Nε-acetyl-L-lysine', 'Nε-acetyllysine', 'Ε-acetyl-L-lysine', 'Ε-N-acetyl-L-lysine', 'Ε-N-acetyllysine', 'Ω-N-acetyl-L-lysine', 'N6-Acetyl-L-lysine']",C8H16N2O3,(2S)-2-amino-6-acetamidohexanoic acid,692-04-6,CC(=O)NCCCC[C@H](N)C(O)=O,"InChI=1S/C8H16N2O3/c1-6(11)10-5-3-2-4-7(9)8(12)13/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)/t7-/m0/s1",DTERQYGMUDWYAZ-ZETCQYMHSA-N,188.116092388,188.2242,HMDB0000206_nmroned_1188_28614.txt,nmroned
HMDB0000207,"['HMDB0002066', 'HMDB00207', 'HMDB02066']",Oleic acid,"['(9Z)-Octadecenoic acid', '(Z)-Octadec-9-enoic acid', '18:1 N-9', '18:1DElta9cis', 'C18:1 N-9', 'cis-9-Octadecenoic acid', 'cis-Delta(9)-Octadecenoic acid', 'cis-Oleic acid', 'FA 18:1', 'Octadec-9-enoic acid', 'Oelsaeure', 'Oleate', '(9Z)-Octadecenoate', '(Z)-Octadec-9-enoate', 'cis-9-Octadecenoate', 'cis-delta(9)-Octadecenoate', 'cis-Δ(9)-octadecenoate', 'cis-Δ(9)-octadecenoic acid', 'cis-Oleate', 'Octadec-9-enoate', '(9Z)-9-Octadecenoate', '(9Z)-9-Octadecenoic acid', '(Z)-9-Octadecanoate', '(Z)-9-Octadecanoic acid', '9,10-Octadecenoate', '9,10-Octadecenoic acid', '9-(Z)-Octadecenoate', '9-(Z)-Octadecenoic acid', '9-Octadecenoate', '9-Octadecenoic acid', 'Century CD fatty acid', 'cis-Octadec-9-enoate', 'cis-Octadec-9-enoic acid', 'Distoline', 'Emersol 210', 'Emersol 211', 'Emersol 213', 'Emersol 220 white oleate', 'Emersol 220 white oleic acid', 'Emersol 221 low titer white oleate', 'Emersol 221 low titer white oleic acid', 'Emersol 233LL', 'Emersol 6321', 'Emersol 6333 NF', 'Emersol 7021', 'Glycon ro', 'Glycon wo', 'Groco 2', 'Groco 4', 'Groco 5l', 'Groco 6', 'Industrene 104', 'Industrene 105', 'Industrene 205', 'Industrene 206', ""L'acide oleique"", 'Metaupon', 'Oelsauere', 'Oleic acid extra pure', 'Oleinate', 'Oleinic acid', 'Pamolyn', 'Pamolyn 100', 'Pamolyn 100 FG', 'Pamolyn 100 FGK', 'Pamolyn 125', 'Priolene 6900', 'Red oil', 'Tego-oleic 130', 'Vopcolene 27', 'Wecoline oo', 'Z-9-Octadecenoate', 'Z-9-Octadecenoic acid', 'Acid, 9-octadecenoic', 'Acid, oleic', '9 Octadecenoic acid', 'Acid, cis-9-octadecenoic', 'cis 9 Octadecenoic acid', 'FA(18:1(9Z))', 'FA(18:1n9)']",C18H34O2,(9Z)-octadec-9-enoic acid,112-80-1,CCCCCCCC\C=C/CCCCCCCC(O)=O,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-",ZQPPMHVWECSIRJ-KTKRTIGZSA-N,282.255880332,282.4614,HMDB0000207_nmroned_1190_28622.txt,nmroned
HMDB0000208,"['HMDB0002812', 'HMDB00208', 'HMDB0062781', 'HMDB02812', 'HMDB62781']",Oxoglutaric acid,"['2-Ketoglutaric acid', 'alpha-Ketoglutaric acid', '2-Ketoglutarate', 'a-Ketoglutarate', 'a-Ketoglutaric acid', 'alpha-Ketoglutarate', 'Α-ketoglutarate', 'Α-ketoglutaric acid', 'Oxoglutarate', '2-oxo-1,5-Pentanedioate', '2-oxo-1,5-Pentanedioic acid', '2-Oxoglutarate', '2-Oxoglutaric acid', '2-Oxopentanedioate', '2-Oxopentanedioic acid', 'alpha-Oxoglutarate', 'Oxogluric acid', '2 Oxoglutaric acid', 'Ketoglutaric acid', 'alpha Ketoglutaric acid', '2 Ketoglutaric acid', 'alpha Ketoglutarate', 'alpha Oxoglutarate', '2 Ketoglutarate', '2 Oxoglutarate', 'alpha-Oxoglutaric acid', 'alpha-Oxopentanedioic acid', 'alpha-Keto-glutaric acid', 'Α-oxoglutaric acid', 'Α-oxopentanedioic acid', 'Α-keto-glutaric acid']",C5H6O5,2-oxopentanedioic acid,328-50-7,OC(=O)CCC(=O)C(O)=O,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)",KPGXRSRHYNQIFN-UHFFFAOYSA-N,146.021523302,146.0981,HMDB0000208_nmroned_1192_28632.txt,nmroned
HMDB0000209,"['HMDB0001326', 'HMDB00209', 'HMDB01326']",Phenylacetic acid,"['2-PHENYLACETIC ACID', '2-Phenylethanoic acid', 'alpha-Toluic acid', 'Benzeneacetic acid', 'Benzylformic acid', 'Omega-phenylacetic acid', 'PA', 'Phenylacetate', '2-PHENYLACETate', 'a-Toluate', 'a-Toluic acid', 'alpha-Toluate', 'Α-toluate', 'Α-toluic acid', 'Benzeneacetate', 'Benzylformate', 'Omega-phenylacetate', 'Phenylethanoate', 'W-Phenylacetate', 'W-Phenylacetic acid', 'Phenylacetic acid, potassium salt', 'Sodium phenylacetate', 'Phenylacetic acid, lithium salt', 'Phenylacetic acid, sodium salt', 'Phenylacetic acid, ammonium salt', 'Phenylacetic acid, calcium salt', 'Phenylacetic acid, cesium salt', 'Phenylacetic acid, mercury salt', 'Phenylacetic acid, rubidium salt', 'Phenylacetic acid, sodium salt , carboxy-(11)C-labeled CPD', 'PAA', 'ω-Phenylacetic acid', 'Phenylacetic acid']",C8H8O2,2-phenylacetic acid,103-82-2,OC(=O)CC1=CC=CC=C1,"InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)",WLJVXDMOQOGPHL-UHFFFAOYSA-N,136.0524295,136.1479,HMDB0000209_nmroned_1195_28642.txt,nmroned
HMDB0000211,"['HMDB0002256', 'HMDB00211', 'HMDB02256']",myo-Inositol,"['(1R,2R,3S,4S,5R,6S)-Cyclohexane-1,2,3,4,5,6-hexol', '1,2,3,4,5,6-HEXAHYDROXY-cyclohexane', '1,2,3,5/4,6-cyclohexanehexol', '1D-Myo-inositol', '1l-Myo-inositol', 'Bios I', 'cis-1,2,3,5-trans-4,6-Cyclohexanehexol', 'Cyclohexitol', 'D-Myo-inositol', 'Dambose', 'I-inositol', 'Inosite', 'Inositol', 'Ins', 'L-Myo-inositol', 'Meat sugar', 'Meso-inositol', 'Myoinositol', 'Inosital', 'Iso-inositol', 'MI', 'Myoinosite', 'Phaseomannite', 'Rat antispectacled eye factor', 'Myo inositol', 'Vitamin b8', 'Myo-inositol']",C6H12O6,"(1R,2R,3r,4S,5S,6s)-cyclohexane-1,2,3,4,5,6-hexol",87-89-8,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,"InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4+,5-,6-",CDAISMWEOUEBRE-GPIVLXJGSA-N,180.063388116,180.1559,HMDB0000211_nmroned_1200_28662.txt,nmroned
HMDB0000214,"['HMDB0000818', 'HMDB0004984', 'HMDB00214', 'HMDB00818', 'HMDB04984']",Ornithine,"['(S)-2,5-Diaminopentanoate', '(S)-2,5-Diaminopentanoic acid', '(S)-2,5-Diaminovaleric acid', '(S)-alpha,delta-Diaminovaleric acid', '(S)-Ornithine', '(S)-2,5-Diaminovalerate', '(S)-a,delta-Diaminovalerate', '(S)-a,delta-Diaminovaleric acid', '(S)-alpha,delta-Diaminovalerate', '(S)-Α,δ-diaminovalerate', '(S)-Α,δ-diaminovaleric acid', '(S)-a,Δ-diaminovalerate', '(S)-a,Δ-diaminovaleric acid', '(+)-S-Ornithine', '(S)-a,D-Diaminovalerate', '(S)-a,D-Diaminovaleric acid', '5-Amino-L-norvaline', 'L-(-)-Ornithine', 'L-Ornithine', '2,5-Diaminopentanoic acid', 'Ornithine dihydrochloride, (L)-isomer', 'Ornithine hydrochloride, (D)-isomer', 'Ornithine, (D)-isomer', 'Ornithine, (L)-isomer', '2,5 Diaminopentanoic acid', 'Ornithine monoacetate, (L)-isomer', 'Ornithine monohydrochloride, (D)-isomer', 'Ornithine monohydrochloride, (DL)-isomer', 'Ornithine phosphate (1:1), (L)-isomer', 'Ornithine sulfate (1:1), (L)-isomer', 'Ornithine hydrochloride, (DL)-isomer', 'Ornithine hydrochloride, (L)-isomer', 'Ornithine monohydrobromide, (L)-isomer', 'Ornithine, (DL)-isomer']",C5H12N2O2,"(2S)-2,5-diaminopentanoic acid",3184-13-2,NCCC[C@H](N)C(O)=O,"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1",AHLPHDHHMVZTML-BYPYZUCNSA-N,132.089877638,132.161,HMDB0000214_nmroned_1206_28687.txt,nmroned
HMDB0000216,"['HMDB00216', 'HMDB0037685', 'HMDB37685']",Norepinephrine,"['(-)-Arterenol', '(-)-Noradrenaline', '(-)-Norepinephrine', '(R)-(-)-Norepinephrine', '(R)-4-(2-amino-1-Hydroxyethyl)-1,2-benzenediol', '(R)-Norepinephrine', '4-[(1R)-2-amino-1-Hydroxyethyl]-1,2-benzenediol', 'Arterenol', 'L-Noradrenaline', 'L-Norepinephrine', 'Noradrenaline', 'Norepinefrina', 'Norepinephrinum', '(-)-(R)-Norepinephrine', '(-)-alpha-(Aminomethyl)protocatechuyl alcohol', '(R)-Noradrenaline', '4-(2-amino-1-Hydroxyethyl)-1,2-benzenediol', 'Adrenor', 'Aktamin', 'L-2-amino-1-(3,4-Dihydroxyphenyl)ethanol', 'L-3,4-Dihydroxyphenylethanolamine', 'L-alpha-(Aminomethyl)-3,4-dihydroxybenzyl alcohol', 'L-Arterenol', 'Levarterenol', 'Levoarterenol', 'Levonor', 'Levonoradrenaline', 'Levonorepinephrine', 'Levophed', 'Nor-epirenan', 'Noradrenalin', 'Norartrinal', 'Norepirenamine', 'Sympathin E']",C8H11NO3,"4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol",51-41-2,NC[C@H](O)C1=CC(O)=C(O)C=C1,"InChI=1S/C8H11NO3/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8,10-12H,4,9H2/t8-/m0/s1",SFLSHLFXELFNJZ-QMMMGPOBSA-N,169.073893223,169.1778,HMDB0000216_nmroned_1212_28713.txt,nmroned
HMDB0000217,['HMDB00217'],NADP,"['Codehydrase II', 'Codehydrogenase II', 'Coenzyme II', 'NAD phosphate', 'NADP nicotinamide-adenine-dinucleotide phosphATE', 'TPN', 'Triphosphopyridine nucleotide', 'NAD phosphoric acid', 'NADP nicotinamide-adenine-dinucleotide phosphoric acid', 'Dinucleotide phosphate, nicotinamide-adenine', 'NADPH', 'Nicotinamide-adenine dinucleotide phosphate', 'Nicotinamide adenine dinucleotide phosphate', 'Nucleotide, triphosphopyridine', 'Phosphate, nicotinamide-adenine dinucleotide', 'Adenine-nicotinamide dinucleotide phosphate', 'NADP+', 'beta-NADP', 'beta-Nicotinamide adenine dinucleotide phosphate', 'beta-TPN', 'Β-nadp', 'Β-nicotinamide adenine dinucleotide phosphate', 'Β-TPN', 'NADP']",C21H28N7O17P3,"1-[(2R,3R,4S,5R)-5-{[({[(2R,3R,4R,5R)-5-(6-amino-9H-purin-9-yl)-3-hydroxy-4-(phosphonooxy)oxolan-2-yl]methoxy}(hydroxy)phosphoryl phosphono)oxy]methyl}-3,4-dihydroxyoxolan-2-yl]-3-carbamoyl-1lambda5-pyridin-1-ylium",53-59-8,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,"InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",XJLXINKUBYWONI-NNYOXOHSSA-N,743.075452041,743.405,HMDB0000217_nmroned_5238_2734284.txt,nmroned
HMDB0000220,"['HMDB00220', 'HMDB0060083', 'HMDB60083']",Palmitic acid,"['1-Hexyldecanoic acid', '1-Pentadecanecarboxylic acid', '16:00', 'C16', 'C16 Fatty acid', 'C16:0', 'Cetylic acid', 'CH3-[CH2]14-COOH', 'FA 16:0', 'Hexadecanoate', 'Hexadecoic acid', 'Hexadecylic acid', 'Hexaectylic acid', 'N-Hexadecanoic acid', 'N-Hexadecoic acid', 'Palmitate', 'Palmitinic acid', 'Palmitinsaeure', 'Pentadecanecarboxylic acid', '1-Hexyldecanoate', '1-Pentadecanecarboxylate', 'Cetylate', 'Hexadecanoic acid', 'Hexadecoate', 'Hexadecylate', 'Hexaectylate', 'N-Hexadecanoate', 'N-Hexadecoate', 'Palmitinate', 'Pentadecanecarboxylate', 'Edenor C16', 'Emersol 140', 'Emersol 143', 'Glycon p-45', 'Hexadecanoate (N-C16:0)', 'Hexadecanoic acid palmitic acid', 'Hydrofol', 'Hydrofol acid 1690', 'Hystrene 8016', 'Hystrene 9016', 'Industrene 4516', 'Kortacid 1698', 'Loxiol ep 278', 'Lunac p 95', 'Lunac p 95KC', 'Lunac p 98', 'Palmitoate', 'Palmitoic acid', 'PAM', 'PLM', 'Prifac 2960', 'Prifrac 2960', 'Pristerene 4934', 'Univol u332', 'Acid, hexadecanoic', 'Acid, palmitic', 'FA(16:0)']",C16H32O2,hexadecanoic acid,57-10-3,CCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,256.240230268,256.4241,HMDB0000220_nmroned_1217_28734.txt,nmroned
HMDB0000222,"['HMDB0000846', 'HMDB00222', 'HMDB00846']",Palmitoylcarnitine,"['(3R)-3-(Hexadecanoyloxy)-4-(trimethylazaniumyl)butanoate', '(3R)-3-Palmitoyloxy-4-(trimethylammonio)butanoate', 'Hexadecanoyl-L-carnitine', 'Hexadecanoylcarnitine', 'Hexadecenoyl carnitine', 'L-Carnitine palmitoyl ester', 'O-Hexadecanoyl-(R)-carnitine', 'O-Hexadecanoyl-R-carnitine', 'Palmitoyl-L-carnitine', 'Palmitoylcarnitine', '(3R)-3-(Hexadecanoyloxy)-4-(trimethylazaniumyl)butanoic acid', '(3R)-3-Palmitoyloxy-4-(trimethylammonio)butanoic acid', '(+)-Palmitoylcarnitine', '3-Carboxy-N,N,N-trimethyl-2-[(1-oxohexadecyl)oxy]-1-propanaminium', 'L(-)-Palmitylcarnitine', 'L-Palmitoyl-L-carnitine', 'Palmitoyl-(-)-carnitine', 'Palmityl-L-carnitine', 'Palmitylcarnitine', '(2R)-Palmitoylcarnitine', 'C16 Carnitine', 'L-Palmitoylcarnitine']",C23H46NO4,(3R)-3-(hexadecanoyloxy)-4-(trimethylazaniumyl)butanoate,2364-67-2,CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,"InChI=1S/C23H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h21H,5-20H2,1-4H3/p+1/t21-/m1/s1",XOMRRQXKHMYMOC-OAQYLSRUSA-O,400.342135385,400.623,HMDB0000222_nmroned_1221_28751.txt,nmroned
HMDB0000223,['HMDB00223'],Oxalacetic acid,"['2-Oxobutanedioic acid', '2-Oxosuccinic acid', '3-Carboxy-3-oxopropanoic acid', 'Keto-succinic acid', 'Ketosuccinic acid', 'OAA', 'Oxobutanedioic acid', 'Oxosuccinic acid', 'Oxaloacetic acid', 'Keto-oxaloacetate', '2-Oxobutanedioate', '2-Oxosuccinate', '3-Carboxy-3-oxopropanoate', 'Keto-succinate', 'Ketosuccinate', 'Oxobutanedioate', 'Oxosuccinate', 'Oxaloacetate', 'Keto-oxaloacetic acid', 'Oxalacetate', '2-Ketosuccinate', '2-Ketosuccinic acid', 'a-Ketosuccinate', 'a-Ketosuccinic acid', 'alpha-Ketosuccinate', 'alpha-Ketosuccinic acid', 'Oxaloethanoate', 'Oxaloethanoic acid', 'Acid, oxaloacetic', 'Acid, oxalacetic', '2 Ketosuccinic acid', '2 oxo Butanedioic acid', '2-oxo-Butanedioic acid']",C4H4O5,2-oxobutanedioic acid,328-42-7,OC(=O)CC(=O)C(O)=O,"InChI=1S/C4H4O5/c5-2(4(8)9)1-3(6)7/h1H2,(H,6,7)(H,8,9)",KHPXUQMNIQBQEV-UHFFFAOYSA-N,132.005873238,132.0716,HMDB0000223_nmroned_1223_28764.txt,nmroned
HMDB0000224,"['HMDB0012279', 'HMDB00224', 'HMDB0060151', 'HMDB0060152', 'HMDB12279', 'HMDB60151', 'HMDB60152']",O-Phosphoethanolamine,"['2-Amino-ethanol dihydrogen phosphate', '2-Amino-ethanol phosphate', 'Colamine phosphate', 'Colamine phosphoric acid', 'Colaminphosphoric acid', 'EAP', 'Ethanolamine acid phosphate', 'Ethanolamine O-phosphate', 'Ethanolamine phosphate', 'mono(2-Aminoethyl) phosphate', 'Monoaminoethyl phosphate', 'O-Phosphocolamine', 'O-Phosphorylethanolamine', 'OPE', 'PE', 'PEA', 'PETN', 'Phosphoethanolamine', 'Phosphoric acid 2-aminoethyl phenyl ester', 'Phosphoryl-ethanolamine', '2-Amino-ethanol dihydrogen phosphoric acid', '2-Amino-ethanol phosphoric acid', 'Colaminphosphate', 'Ethanolamine acid phosphoric acid', 'Ethanolamine O-phosphoric acid', 'Ethanolamine phosphoric acid', 'mono(2-Aminoethyl) phosphoric acid', 'Monoaminoethyl phosphoric acid', 'Phosphate 2-aminoethyl phenyl ester', 'Phosphonoethanolamine', '2-Amino-ethanol dihydrogen phosphate (ester)', '2-Aminoethanol O-phosphate', '2-Aminoethyl dihydrogen phosphate', '2-Aminoethyl dihydrogen phosphate (acd/name 4.0)', '2-Aminoethyl phosphate', 'Colamine acid phosphate', 'Colaminephosphoric acid', 'Ethamp', 'O-Phosphonatoethanaminium', 'Phosphoryethanolamine', 'Phosphorylethanolamine', 'Phosphorylethanolamine, 3H-labeled CPD', 'Phosphorylethanolamine magnesium (1:1) salt', 'Phosphorylethanolamine zinc salt', 'Phosphorylethanolamine, cobalt (2+) (1:1) salt', 'Calcium 2-aminoethanol phosphate', 'Phosphorylethanolamine ca (1:1) salt']",C2H8NO4P,(2-aminoethoxy)phosphonic acid,1071-23-4,NCCOP(O)(O)=O,"InChI=1S/C2H8NO4P/c3-1-2-7-8(4,5)6/h1-3H2,(H2,4,5,6)",SUHOOTKUPISOBE-UHFFFAOYSA-N,141.019094261,141.063,HMDB0000224_nmroned_1226_28773.txt,nmroned
HMDB0000225,['HMDB00225'],Oxoadipic acid,"['2-Oxoadipate', '2-Oxoadipic acid', 'Oxoadipate', '2-Keto-adipate', '2-Ketoadipate', '2-Ketoadipic acid', '2-oxo-Hexanedioate', '2-oxo-Hexanedioic acid', '2-Oxohexanedioate', '2-Oxohexanedioic acid', '2-Oxohexanedionic acid', 'a-Ketoadipate', 'a-Ketoadipic acid', 'a-Oxoadipate', 'a-Oxoadipic acid', 'alpha-Ketoadipate', 'alpha-Ketoadipic acid', 'alpha-Oxoadipate', 'alpha-Oxoadipic acid', 'α-Ketoadipic acid', 'α-Oxoadipic acid']",C6H8O5,2-oxohexanedioic acid,3184-35-8,OC(=O)CCCC(=O)C(O)=O,"InChI=1S/C6H8O5/c7-4(6(10)11)2-1-3-5(8)9/h1-3H2,(H,8,9)(H,10,11)",FGSBNBBHOZHUBO-UHFFFAOYSA-N,160.037173366,160.1247,HMDB0000225_nmroned_1235_28808.txt,nmroned
HMDB0000226,['HMDB00226'],Orotic acid,"['Orotsaeure', 'Uracil-6-carboxylic acid', 'Uracil-6-carboxylate', 'Orotate', '1,2,3,6-Tetrahydro-2,6-dioxo-4-pyrimidecarboxylic acid', '1,2,3,6-Tetrahydro-2,6-dioxo-4-pyrimidinecarboxylic acid', '1,2,3,6-Tetrahydro-2,6-dioxopyrimidin-4-carbonsaeure', '2,6-Dihydroxy-4-pyrimidinecarboxylic acid', '2,6-Dihydroxypyrimidine-4-carboxylic acid', '2,6-Dioxo-1,2,3,6-tetrahydro-pyrimidine-4-carboxylic acid', '2,6-Dioxo-1,2,3,6-tetrahydropyrimidine-4-carboxylic acid', '6-Carboxy-2,4-dihydroxypyrimidine', '6-Carboxyuracil', '6-Uracilcarboxylic acid', 'Acide orotique', 'Acido orotico', 'Acidum oroticum', 'Animal galactose factor', 'Lactinium', 'Molkensaeure', 'ORO', 'Orodin', 'Oropur', 'Orotonin', 'Orotonsan', 'Orotsaure', 'Oroturic', 'Orotyl', 'Uracil-6-carbosaeure', 'Vitamin b13', 'Whey factor', 'Zinc orotate', 'Orotate, zinc', 'Acid, orotic', 'Orotate, potassium', 'Potassium orotate', 'Orotate, sodium', 'Sodium orotate']",C5H4N2O4,"2,6-dioxo-1,2,3,6-tetrahydropyrimidine-4-carboxylic acid",65-86-1,OC(=O)C1=CC(=O)NC(=O)N1,"InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)",PXQPEWDEAKTCGB-UHFFFAOYSA-N,156.017106626,156.0963,HMDB0000226_nmroned_1238_28820.txt,nmroned
HMDB0000227,"['HMDB00227', 'HMDB0059629', 'HMDB59629']",Mevalonic acid,"['(R)-3,5-Dihydroxy-3-methylvaleric acid', '(R)-Mevalonate', '3,5-Dihydroxy-3-methylvaleric acid', '(R)-3,5-Dihydroxy-3-methylvalerate', '(R)-Mevalonic acid', '3,5-Dihydroxy-3-methylvalerate', 'Mevalonate', 'Mevalonic acid', 'Acid, mevalonic', '(3R)-3,5-Dihydroxy-3-methylpentanoic acid', '(3R)-Mevalonic acid', '(R)-(-)-Mevalonic acid', '(R)-3,5-Dihydroxy-3-methylpentanoic acid', '2,4-Dideoxy-3-C-methylpentonic acid', '3,5-Dihydroxy-3-methylpentanoic acid', 'Hiochic acid', 'MVA', 'R-Mevalonic acid', 'beta,delta-Dihydroxy-beta-methylvaleric acid', 'β,δ-Dihydroxy-β-methylvaleric acid']",C6H12O4,"(3R)-3,5-dihydroxy-3-methylpentanoic acid",17817-88-8,C[C@@](O)(CCO)CC(O)=O,"InChI=1S/C6H12O4/c1-6(10,2-3-7)4-5(8)9/h7,10H,2-4H2,1H3,(H,8,9)/t6-/m1/s1",KJTLQQUUPVSXIM-ZCFIWIBFSA-N,148.073558872,148.1571,HMDB0000227_nmroned_5269_2734743.txt,nmroned
HMDB0000228,['HMDB00228'],Phenol,"['Acide carbolique', 'Acide phenique', 'Benzenol', 'Carbolic acid', 'Carbolsaeure', 'Hydroxybenzene', 'Karbolsaeure', 'Oxybenzene', 'Phenic acid', 'Phenylic acid', 'Phenylic alcohol', 'PHOH', 'Liquefied phenol', 'Phenol for disinfection', 'Phenol, liquefied', 'Paoscle', 'Carbolate', 'Phenate', 'Phenylate', 'Anbesol', 'Benzophenol', 'Campho-phenique cold sore gel', 'Campho-phenique gel', 'Campho-phenique liquid', 'Carbolic acid liquid', 'Carbolic oil', 'Carbolicum acidum', 'Carbolsaure', 'Cepastat lozenges', 'Cuticura pain relieving ointment', 'Fenol', 'Fenolo', 'Fenosmolin', 'Fenosmoline', 'Hydroxy-benzene', 'IPH', 'IZAL', 'Liquid phenol', 'Liquified phenol', 'Monohydroxy benzene', 'Monohydroxybenzene', 'Monophenol', 'Phenic', 'Phenic alcohol', 'Phenol alcohol', 'Phenol homopolymer', 'Phenol liquid', 'Phenol molten', 'Phenol polymer-bound', 'Phenol solution', 'Phenol synthetic', 'Phenolated water', 'Phenolated water for disinfection', 'Phenole', 'Phenosmolin', 'Synthetic phenol', 'Tea polyphenol', 'Phenol, sodium salt', 'Phenolate sodium', 'Carbol', 'Phenolate, sodium', 'Sodium phenolate']",C6H6O,phenol,108-95-2,OC1=CC=CC=C1,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,94.041864814,94.1112,HMDB0000228_nmroned_1242_28836.txt,nmroned
